Simulated Henry coefficients using the Universal Force Field and doi:10.1016/0031-8914(61)90072-6
structure,KH_Xe(mol/kg-Pa),KH_Kr(mol/kg-Pa)
SBMOF-1,3.720926e-02,5.267099e-04
CC3,5.522668e-03,1.564289e-04
Ni-MOF-74,3.372062e-05,7.015631e-06
HKUST-1,3.099125e-04,2.334371e-05
SBMOF-2,4.368988e-03,1.982081e-04
Co-formate,1.077223e-04,8.557870e-06
ZincTetrazolate,1.396635e-04,1.771872e-05
FMOF-Cu,1.091628e-02,1.795927e-04 # 297 K
IRMOF-1,1.511899e-05,5.274624e-06 # 292 K
MOF-505,1.456457e-04,2.065747e-05 # 292 K
PCN-14,8.016921e-04,5.781280e-05 # 292 K
