P(mbar),L(mmol/g)
1015.8531124,2.42207792208
948.619196895,2.40909090909
900.354530527,2.38961038961
814.170025377,2.35064935065
734.878340051,2.31818181818
700.403045231,2.30519480519
655.594118525,2.27272727273
584.923122854,2.24025974026
574.585759069,2.22727272727
490.140319451,2.16233766234
467.741453948,2.13636363636
409.154351396,2.07792207792
350.582176444,1.99350649351
307.516047171,1.92857142857
254.131213614,1.81818181818
226.58232572,1.75324675325
202.489177489,1.67532467532
166.356918943,1.54545454545
147.436184505,1.46753246753
133.68413196,1.3961038961
109.628302732,1.25324675325
107.919092402,1.22727272727
82.1727123451,1.02597402597
66.7151813704,0.922077922078
39.2969099866,0.62987012987
29.0677713092,0.428571428571
13.6811464398,0.201298701299
