P(bar),L(mmol/g)
2.00E-02,0.0079263114
5.17E-02,0.0328343626
1.02E-01,0.0629696407
1.51E-01,0.0910851039
2.01E-01,0.118525796
2.51E-01,0.1458990111
3.01E-01,0.1712524112
4.01E-01,0.2073841553
5.01E-01,0.2493324264
6.01E-01,0.2918969885
7.01E-01,0.3348619148
8.01E-01,0.3720777912
9.01E-01,0.4141340257
9.96E-01,0.4538240629
8.98E-01,0.4679402747
7.98E-01,0.4646923763
6.99E-01,0.4541389561
5.99E-01,0.4382953302
4.98E-01,0.4209807033
3.98E-01,0.3983128923
2.99E-01,0.3693517159
1.99E-01,0.3356491478
9.94E-02,0.2954237922
4.89E-02,0.2599848132
