P(atm),L(cm3STP/g)
0.108215178191,3.78866466248
0.139432963261,4.87108630768
0.166489456441,5.77291544104
0.187306710421,6.31318174213
0.212285256289,7.03404055505
0.258059467074,9.02055818522
0.297599835923,10.4641648541
0.353796166862,12.2674453122
0.407914550489,13.8897554499
0.455772105851,15.8758952715
0.507801747635,17.6799313468
0.555670097529,19.3033749103
0.601455102845,20.9271962824
0.647250902693,22.1883213964
0.693030510743,23.9934908975
0.736742966013,25.2549938201
0.772122042973,26.5180079772
0.795017244264,27.2392445987
0.817912445555,27.9604812202
0.842890991424,28.6813400331
0.861619503559,29.4033322719
0.878270068383,29.9443541902
0.903237819721,31.0279092612
0.921971729122,31.5685533709
0.932383054744,31.7480124569
0.942783585835,32.290167801
0.953189514192,32.6509750161
0.965684184392,32.8300562935
0.976084715483,33.3722116376
0.990657332995,33.7322632354
