P(atm),L(cm3STP/g)
0.991596638655,138.701298701
0.976890756303,137.142857143
0.96218487395,135.584415584
0.945378151261,133.506493506
0.924369747899,131.948051948
0.905462184874,129.87012987
0.871848739496,127.792207792
0.863445378151,126.753246753
0.846638655462,125.714285714
0.823529411765,123.636363636
0.796218487395,121.038961039
0.766806722689,118.961038961
0.733193277311,116.363636364
0.705882352941,114.285714286
0.659663865546,109.090909091
0.59243697479,103.376623377
0.552521008403,98.1818181818
0.495798319328,91.4285714286
0.447478991597,85.1948051948
0.399159663866,78.961038961
0.350840336134,72.7272727273
0.300420168067,64.9350649351
0.25,55.0649350649
0.197478991597,45.1948051948
0.178571428571,40.5194805195
0.161764705882,37.9220779221
0.142857142857,33.2467532468
0.11974789916,28.0519480519
0.0966386554622,23.3766233766
0.0756302521008,18.1818181818
