P(atm),L(cm3STP/g)
0.0291344404924,0.901451324759
0.0561855364073,1.98462858716
0.079086134964,2.52451707965
0.104059283567,3.42672402161
0.124865743015,4.32968658078
0.139432963261,4.87108630768
0.16025021724,5.41135260877
0.185223365843,6.31355955073
0.210196514446,7.21576649269
0.260148208917,8.83883224758
0.308016558811,10.4622758111
0.349640272238,11.9055046713
0.40792534502,13.5270591918
0.457882436758,14.9687768177
0.509912078541,16.772812893
0.557785825701,18.2149083274
0.60982086475,19.8375962737
0.65769461191,21.2796917082
0.699318325336,22.7229205684
0.736791541405,23.6228606588
0.765925981898,24.7056601126
0.799237906077,25.4250076911
0.822133107368,26.1462443126
0.842944964081,26.8678587428
0.859600926171,27.227532532
0.878334835572,27.7681766417
0.90747467333,28.6696279665
0.917885998953,28.8490870525
0.932458616465,29.2091386504
0.944947889399,29.5695680568
0.95534842049,30.1117234009
0.969926435268,30.2904268697
0.982415708202,30.6508562762
