P(kPa),L(mmol/g)
99.9663305961,0.389891696751
97.3775275434,0.368231046931
92.9752529882,0.346570397112
86.7585716691,0.335740072202
81.8381623988,0.314079422383
76.3986831522,0.303249097473
71.7373412394,0.281588447653
61.8965226988,0.238267148014
51.0194347281,0.194945848375
46.3571575541,0.184115523466
43.2511550476,0.151624548736
41.437683545,0.151624548736
35.9982042985,0.140794223827
30.5596603131,0.119133574007
26.1573857578,0.0974729241877
21.2351059651,0.0974729241877
15.5393651447,0.0541516245487
11.1361553282,0.043321299639
